19185695105,2023-06-04 22:00:39,🟊🟊🟊,需要打游戏啥的就别选pro了
19088782949,2023-05-07 00:10:46,🟊🟊🟊,降价了 用了没多久还行吧
19176711615,2023-06-02 23:01:27,🟊🟊🟊,目前用着还行，不好的就是比较耗电，
19088096456,2023-05-06 19:20:14,🟊🟊🟊,价格有点高，性价比底的很。
19070467514,2023-04-30 13:28:18,🟊🟊🟊,配送服务差 其他的还可以
19181566395,2023-06-04 01:15:30,🟊🟊🟊,待机方面真的很差劲，不过手机确实好用
19182011607,2023-06-04 08:56:58,🟊🟊🟊,除了续航一般，信号差外。其它还是不错的
19110278636,2023-05-14 12:47:49,🟊🟊🟊,其它地方都还好，就是充电会发烫
19190538771,2023-06-06 00:10:52,🟊🟊🟊,手机没问题 正品保证
19179407705,2023-06-03 16:08:28,🟊🟊🟊,手感还可以  就是用了一会手机就开始发热
19185695105,2023-06-04 22:00:39,🟊🟊🟊,需要打游戏啥的就别选pro了
19088782949,2023-05-07 00:10:46,🟊🟊🟊,降价了 用了没多久还行吧
19176711615,2023-06-02 23:01:27,🟊🟊🟊,目前用着还行，不好的就是比较耗电，
19088096456,2023-05-06 19:20:14,🟊🟊🟊,价格有点高，性价比底的很。
19070467514,2023-04-30 13:28:18,🟊🟊🟊,配送服务差 其他的还可以
19181566395,2023-06-04 01:15:30,🟊🟊🟊,待机方面真的很差劲，不过手机确实好用
19182011607,2023-06-04 08:56:58,🟊🟊🟊,除了续航一般，信号差外。其它还是不错的
19110278636,2023-05-14 12:47:49,🟊🟊🟊,其它地方都还好，就是充电会发烫
19190538771,2023-06-06 00:10:52,🟊🟊🟊,手机没问题 正品保证
19179407705,2023-06-03 16:08:28,🟊🟊🟊,手感还可以  就是用了一会手机就开始发热
19130398467,2023-05-20 20:25:02,🟊🟊🟊,还可以，充电还是会发烫
19159589498,2023-05-29 16:33:46,🟊🟊🟊,外形外观：这个产品和它价位相比来说，太贵了
19135415853,2023-05-22 13:50:34,🟊🟊🟊,手机不错，用的挺快。
19154040808,2023-05-28 00:30:56,🟊🟊🟊,还行吧，不过外包装真的是脏
19165082951,2023-05-31 10:15:46,🟊🟊🟊,新手机一晚上掉四格电？？？
19109249982,2023-05-14 01:06:18,🟊🟊🟊,手机没问题，但购买体验非常差&hellip;&hellip;
19131040415,2023-05-21 03:21:31,🟊🟊🟊,一般  耗电很高 还是该上max的
19109159406,2023-05-13 23:53:44,🟊🟊🟊,手机不错，物流也很快，到手第二天降价400搞心态
19082247704,2023-05-04 19:32:32,🟊🟊🟊,安全上岸 就是不知道为啥掉电非常快
18697563977,2023-01-15 16:51:45,🟊🟊🟊,过年前有新手机拍照了，很棒。
18631790477,2022-12-31 17:41:53,🟊🟊🟊,手机还可以，比之前的12强
18840332080,2023-03-01 10:21:35,🟊🟊🟊,电池不耐用，手感很好用起来也流畅
18976837170,2023-04-02 09:49:17,🟊🟊🟊,什么都挺好的就是信号不是很好！！！
19096904136,2023-05-09 19:36:14,🟊🟊🟊,手机还不错，只是刚过7天就降价200，刚好不能价保，不开心！
18862973025,2023-03-06 05:16:09,🟊🟊🟊,早买一周，价格比我买的时候又便宜了。
18324141640,2022-11-03 15:44:24,🟊🟊🟊,电池耗电＇用一段时间再评价
19079461458,2023-05-03 20:48:49,🟊🟊🟊,京东自营的服务很好的，这款手机的续航不怎么样，
19182921182,2023-06-04 12:12:08,🟊🟊🟊,外形外观：摄像头里面有灰尘但是官方很好给退了
18779217904,2023-02-12 21:56:34,🟊🟊🟊,14pro镜头不快速聚焦就很服
18911861737,2023-03-18 17:33:02,🟊🟊🟊,用电超级快 其他还可以吧
18393555033,2022-11-15 15:41:24,🟊🟊🟊,给好朋友买的，没有使用，应该还可以吧，毕竟有品牌效应。
18986443870,2023-04-04 13:00:24,🟊🟊🟊,我老婆收到货问是新机吗？我第一次在京东购买
18351958285,2022-11-08 16:13:42,🟊🟊🟊,信号真的差，其他还可以
18909915191,2023-03-17 23:46:15,🟊🟊🟊,还可以吧，没达到特别喜欢的标准，凑合用吧
18446255075,2022-11-27 09:39:52,🟊🟊🟊,使用效果一般，但是服务挺好的
18225198175,2022-10-17 11:37:47,🟊🟊🟊,早买早享受 ;黑色真的很高级
